tkszs_date,tkszs_gck
2015/4/9,79.4
2015/4/10,79.2
2015/4/13,79.2
2015/4/14,79.2
2015/4/15,79.2
2015/4/16,79.2
2015/4/17,79.2
2015/4/20,79.2
2015/4/21,79.2
2015/4/22,76.6
2015/4/23,76.6
2015/4/24,76.5
2015/4/27,76.6
2015/4/28,76.6
2015/4/29,76.6
2015/4/30,76.6
2015/5/4,76.6
2015/5/5,76.7
2015/5/6,76.9
2015/5/7,76.9
2015/5/8,76.9
2015/5/11,77.7
2015/5/12,78
2015/5/13,78
2015/5/14,79.3
2015/5/15,79.3
2015/5/18,79.3
2015/5/19,79.4
2015/5/20,79.5
2015/5/21,79.5
2015/5/22,79.5
2015/5/25,79.5
2015/5/26,79.6
2015/5/27,79.6
2015/5/28,79.6
2015/5/29,79.6
2015/6/1,79.6
2015/6/2,79.5
2015/6/3,79.5
2015/6/4,79.5
2015/6/5,79.5
2015/6/8,79.5
2015/6/9,79.5
2015/6/10,79.5
2015/6/11,79.5
2015/6/12,79.5
2015/6/15,79.5
2015/6/16,79.5
2015/6/17,79.6
2015/6/18,79.6
2015/6/19,79.6
2015/6/23,77.4
2015/6/24,77.4
2015/6/25,77.4
2015/6/26,77.4
2015/6/29,77.4
2015/6/30,77.3
2015/7/1,77.3
2015/7/2,77.9
2015/7/3,77.8
2015/7/6,77.6
2015/7/7,77.6
2015/7/8,76.6
2015/7/9,76.3
2015/7/10,76.3
2015/7/13,75.8
2015/7/14,75.7
2015/7/15,75.7
2015/7/16,75.5
2015/7/17,75.2
2015/7/20,75.2
2015/7/21,76
2015/7/22,76
2015/7/23,76
2015/7/24,76
2015/7/27,76
2015/7/28,76
2015/7/29,76
2015/7/30,76
2015/7/31,76
2015/8/3,76.5
2015/8/4,76.5
2015/8/5,76.5
2015/8/6,76.5
2015/8/7,76.5
2015/8/10,76.5
2015/8/11,76.5
2015/8/12,76.5
2015/8/13,76.5
2015/8/14,76.5
2015/8/17,76.5
2015/8/18,76.5
2015/8/19,76.5
2015/8/20,76.5
2015/8/21,76.5
2015/8/24,76.4
2015/8/25,76.4
2015/8/26,76.4
2015/8/27,76.4
2015/8/28,76.4
2015/8/31,76.3
2015/9/1,76.3
2015/9/2,76.3
2015/9/6,76.3
2015/9/7,76.3
2015/9/8,76.3
2015/9/9,76.3
2015/9/10,76.3
2015/9/11,76.3
2015/9/14,76.3
2015/9/15,76.3
2015/9/16,76.3
2015/9/17,76.3
2015/9/18,76.3
2015/9/21,76.3
2015/9/22,76.3
2015/9/23,76.3
2015/9/24,76.3
2015/9/25,76.3
2015/9/28,76.3
2015/9/29,76.3
2015/9/30,76.3
2015/10/8,76.3
2015/10/9,75.4
2015/10/10,75.4
2015/10/12,75.4
2015/10/13,75.4
2015/10/14,75.4
2015/10/15,75.4
2015/10/16,75.4
2015/10/19,75.3
2015/10/20,75.3
2015/10/21,74.4
2015/10/22,74.4
2015/10/23,74.4
2015/10/26,74.4
2015/10/27,74.4
2015/10/28,74.4
2015/10/29,74.4
2015/10/30,74.3
2015/11/2,74.3
2015/11/3,74.3
2015/11/4,74.3
2015/11/5,74.3
2015/11/6,72.3
2015/11/9,72.2
2015/11/10,72.2
2015/11/11,72.2
2015/11/12,72.2
2015/11/13,72.2
2015/11/16,72.2
2015/11/17,72.2
2015/11/18,69.9
2015/11/19,69
2015/11/20,68.1
2015/11/23,66.8
2015/11/24,65.9
2015/11/25,64.9
2015/11/26,64.9
2015/11/27,64.8
2015/11/30,64.8
2015/12/1,64.4
2015/12/2,63.3
2015/12/3,62.6
2015/12/4,62.1
2015/12/7,61.6
2015/12/8,61.5
2015/12/9,60
2015/12/10,59.9
2015/12/11,59.9
2015/12/14,59.8
2015/12/15,59.8
2015/12/16,59.8
2015/12/17,59.8
2015/12/18,59.8
2015/12/21,59.8
2015/12/22,59.6
2015/12/23,58.3
2015/12/24,57.4
2015/12/25,57.4
2015/12/28,57.4
2015/12/29,57.4
2015/12/30,57.4
2015/12/31,57.4
2016/1/4,57.4
2016/1/5,57.4
2016/1/6,57.4
2016/1/7,57.8
2016/1/8,57.8
2016/1/11,57.8
2016/1/12,57.8
2016/1/13,57.8
2016/1/14,57.8
2016/1/15,57.8
2016/1/18,57.8
2016/1/19,57.8
2016/1/20,57.8
2016/1/21,57.8
2016/1/22,57.8
2016/1/25,57.8
2016/1/26,57.8
2016/1/27,57.8
2016/1/28,57.8
2016/1/29,57.8
2016/2/1,57.8
2016/2/2,57.8
2016/2/3,57.8
2016/2/4,57.8
2016/2/5,57.8
2016/2/6,57.8
2016/2/14,57.8
2016/2/15,57.8
2016/2/16,57.8
2016/2/17,57.8
2016/2/18,59.7
2016/2/19,60
2016/2/22,60
2016/2/23,60
2016/2/24,60
2016/2/25,60
2016/2/26,60
2016/2/29,60.1
2016/3/1,60.1
2016/3/2,60.2
2016/3/3,60.2
2016/3/4,62.3
2016/3/7,66
2016/3/8,67
2016/3/9,67
2016/3/10,67.1
2016/3/11,67.1
2016/3/14,68.2
2016/3/15,69.5
2016/3/16,69.5
2016/3/17,70.5
2016/3/18,71.4
2016/3/21,71.5
2016/3/22,71.5
2016/3/23,71.5
2016/3/24,71.5
2016/3/25,71.5
2016/3/28,71.5
2016/3/29,71.5
2016/3/30,71.5
2016/3/31,71.5
2016/4/1,71.5
2016/4/5,71.5
2016/4/6,71.5
2016/4/7,71.5
2016/4/8,71.5
2016/4/11,71.5
2016/4/12,71.5
2016/4/13,72.9
2016/4/14,73.1
2016/4/15,73.1
2016/4/18,73.2
2016/4/19,74.4
2016/4/20,74.9
2016/4/21,75.4
2016/4/22,75.7
2016/4/25,78.1
2016/4/26,78.1
2016/4/27,78.1
2016/4/28,77.8
2016/4/29,77.7
2016/5/3,77.7
2016/5/4,77.7
